0 00 12.7,+ 6 57 37,4.03
0 00 48.8,-65 28 47,4.49
0 02 28.3,-76 58 09,4.78
0 02 51.5,- 5 55 01,4.37
0 04 38.1,-17 14 19,4.55
0 06 13.9,- 5 36 35,4.61
0 09 17.8,+29 11 13,2.07
0 10 07.3,+59 14 46,2.28
0 10 17.6,-45 39 04,3.88
0 11 14.2,+46 10 10,5.01
0 12 27.6,-27 42 09,5.41
0 12 37.2,-35 02 07,5.24
0 14 08.4,+15 16 51,2.83
0 15 30.7,+20 18 14,4.79
0 15 31.7,-18 50 10,4.44
0 19 14.8,+36 52 56,4.51
0 20 19.2,- 8 43 37,3.56
0 20 58.3,-64 46 20,4.23
0 21 30.0,+ 8 17 14,5.38
0 22 02.9,+38 03 55,5.16
0 24 57.7,+38 40 25,10.71
0 26 38.8,-77 09 21,2.82
0 27 03.6,-43 34 58,3.93
0 27 08.8,-42 12 39,2.4
0 31 15.1,-23 41 28,5.17
0 32 15.3,-48 42 25,4.76
0 32 20.3,-62 51 43,4.36
0 34 00.5,+63 01 41,4.17
0 37 49.2,+33 48 56,4.34
0 37 57.4,+53 59 35,3.69
0 38 17.8,+35 29 44,5.45
0 39 29.1,+29 24 23,4.34
0 40 16.1,+30 57 24,3.27
0 41 30.7,+56 37 59,2.24
0 42 08.9,-45 59 21,4.59
0 44 08.1,-57 22 02,4.36
0 44 28.0,-17 53 27,2.04
0 45 42.5,+48 22 47,4.48
0 48 16.2,+24 21 44,4.08
0 49 11.5,-74 49 42,5.09
0 49 35.5,+ 7 40 48,4.44
0 49 54.0,+17 02 05,5.07
0 50 10.5,+57 54 27,3.46
0 50 47.1,+41 10 26,4.53
0 51 00.2,-10 33 01,5.17
0 51 48.3,+64 20 33,5.35
0 53 54.2,- 1 02 58,4.78
0 55 39.2,-69 25 58,5.45
0 57 43.9,+38 35 38,3.86
0 57 46.7,+60 48 40,2.15
0 58 08.7,+23 30 42,4.4
0 58 47.2,+29 05 11,5.44
0 59 26.9,-29 15 48,4.3
1 03 16.5,-31 27 29,5.5
1 03 51.2,+ 7 59 02,4.27
1 06 51.7,-46 37 30,3.32
1 08 00.0,-61 40 56,5.36
1 08 35.7,-41 23 38,5.21
1 09 07.0,-55 09 09,3.94
1 09 27.0,+55 00 20,5.17
1 09 28.2,-10 05 24,3.46
1 10 31.6,+47 20 05,4.26
1 10 43.1,+35 42 46,2.07
1 11 29.2,+86 21 00,4.24
